,precision,recall,f1-score,support
neutral,1.0,1.0,1.0,11.0
calm,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
happy,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
sad,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
angry,0.875,0.9130434782608695,0.8936170212765957,23.0
fearful,0.75,0.6818181818181818,0.7142857142857143,22.0
accuracy,0.8770491803278688,0.8770491803278688,0.8770491803278688,0.8770491803278688
macro avg,0.8866341991341992,0.887022397891963,0.8861319033640097,122.0
weighted avg,0.8763173302107727,0.8770491803278688,0.8759264611911958,122.0
